time,sound,bounce,elapsed,interval,ratio
129,-2223.75,0,0,186,0.9516129032258065
315,2042.05,1,186,177,0.9378531073446328
492,2900.5,2,363,166,0.9457831325301205
658,2017.11,3,529,157,0.9426751592356688
815,1945.02,4,686,148,0.9527027027027027
963,2237.68,5,834,141,0.9219858156028369
1104,-1256.52,6,975,130,0.9538461538461539
1234,2238.45,7,1105,124,0.9435483870967742
1358,1795.09,8,1229,117,0.9487179487179487
1475,1845.5,9,1346,111,0.963963963963964
1586,889.318,10,1457,107,0.9158878504672897
1693,791.114,11,1564,98,0.9693877551020408
1791,-709.295,12,1662,95,0.9368421052631579
1886,890.795,13,1757,89,0.9550561797752809
1975,750.386,14,1846,85,0.9176470588235294
2060,652.178,15,1931,78,0.9487179487179487
2138,-632.136,16,2009,74,0.9459459459459459
2212,-631.205,17,2083,70,0.9571428571428572
2282,-705.159,18,2153,67,0.9402985074626866
2349,-577.5,19,2220,63,0.9523809523809523
2412,-400.818,20,2283,60,0.9166666666666666
2472,-565.568,21,2343,55,0.9818181818181818
2527,799.659,22,2398,54,0.9259259259259259
2581,576.318,23,2452,50,0.98
2631,738.227,24,2502,49,0.9591836734693877
2680,542.318,25,2551,47,0.9361702127659575
2727,540.568,26,2598,44,0.8863636363636364
2771,-309.886,27,2642,39,1
2810,506.682,28,2681,39,
2849,479.5,29,2720,,
